RecordID,Quantity,Discount,Profit,ActualSales,PredictedSales,PredictionError,ErrorCategory,Region,Category,YearMonth
35,3,0.2,9.9468,29.472,60.27351999999996,30.80151999999996,Normal Error,Central,Office Supplies,2017-10
36,7,0.2,123.4737,1097.544,1047.4898399999997,50.054160000000365,Normal Error,Central,Technology,2016-12
37,5,0.6,-147.963,190.92,130.57608999999982,60.343910000000164,Normal Error,Central,Furniture,2016-12
38,9,0.2,35.415,113.328,264.9563299999999,151.62832999999992,Normal Error,Central,Office Supplies,2015-12
39,3,0.32,-46.9764,532.3992,456.61869199999984,75.78050800000011,Normal Error,Central,Furniture,2015-12
40,3,0.3,-15.147,212.058,442.3288459999998,230.27084599999984,Normal Error,Central,Furniture,2015-12
41,4,0.2,41.7564,371.168,497.94335999999976,126.77535999999975,Normal Error,Central,Technology,2015-12
42,4,0.2,16.5564,147.168,143.46103999999985,3.7069600000001515,Normal Error,Central,Technology,2017-09
43,2,0.0,3.894,77.88,67.49860000000008,10.381399999999914,Normal Error,West,Office Supplies,2016-07
44,2,0.2,9.5616,95.616,74.04751999999995,21.56848000000005,Normal Error,South,Office Supplies,2017-09
45,2,0.0,19.7714,45.98,48.09359999999996,2.1135999999999626,Normal Error,Central,Technology,2016-03
46,2,0.0,8.2062,17.46,17.461600000000022,0.00160000000002114,Normal Error,Central,Office Supplies,2016-03
47,4,0.0,8.4784,211.96,192.3592999999996,19.600700000000415,Normal Error,Central,Office Supplies,2014-10
48,3,0.0,4.95,45.0,40.19984999999999,4.800150000000009,Normal Error,East,Technology,2016-06
49,2,0.0,6.104,21.8,22.978399999999993,1.1783999999999928,Normal Error,East,Technology,2016-06
50,6,0.0,17.9634,38.22,40.15259999999994,1.932599999999944,Normal Error,Central,Office Supplies,2015-04
51,6,0.0,35.3346,75.18,84.41600000000011,9.236000000000104,Normal Error,Central,Office Supplies,2015-04
52,2,0.0,2.9568,6.16,6.160000000000005,4.440892098500626e-15,Normal Error,Central,Furniture,2015-04
53,1,0.0,17.0981,89.99,80.17479999999986,9.815200000000132,Normal Error,Central,Furniture,2015-04
54,7,0.0,6.2566,15.26,26.08002000000002,10.820020000000019,Normal Error,East,Office Supplies,2016-12
55,5,0.0,298.6855,1029.95,959.4871999999989,70.46280000000115,Normal Error,East,Technology,2016-12
56,6,0.0,52.14,208.56,188.66170000000008,19.89829999999992,Normal Error,East,Office Supplies,2016-06
57,5,0.0,15.552,32.4,32.400000000000055,5.684341886080802e-14,Normal Error,East,Office Supplies,2016-06
58,5,0.1,7.098,319.41,330.34581,10.935809999999947,Normal Error,East,Furniture,2016-06
59,2,0.0,6.9888,14.56,19.523700000000026,4.963700000000026,Normal Error,East,Office Supplies,2016-06
60,2,0.0,3.3,30.0,10.963580000000011,19.03641999999999,Normal Error,East,Technology,2016-06
61,4,0.2,16.362,48.48,75.12447999999986,26.644479999999866,Normal Error,East,Office Supplies,2016-06
62,1,0.0,0.84,1.68,2.9731000000000023,1.2931000000000024,Normal Error,East,Office Supplies,2016-06
63,2,0.0,6.1512,13.98,17.59770000000002,3.6177000000000206,Normal Error,West,Technology,2015-11
64,6,0.2,9.3612,25.824,27.949600000000014,2.125600000000013,Normal Error,West,Office Supplies,2015-11
65,3,0.0,68.9631,146.73,146.57849999999974,0.15150000000025443,Normal Error,West,Office Supplies,2015-11
66,4,0.0,22.3328,79.76,76.7248000000001,3.0351999999999038,Normal Error,West,Furniture,2015-11
67,5,0.3,-15.2225,213.115,372.28264000000024,159.16764000000023,Normal Error,Central,Furniture,2015-04
68,8,0.2,111.3024,1113.024,964.6972000000002,148.3267999999997,Normal Error,West,Office Supplies,2014-12
69,4,0.2,62.988,167.968,226.91056000000017,58.942560000000185,Normal Error,West,Technology,2014-12
70,2,0.0,35.6636,75.88,76.5586000000001,0.6786000000001025,Normal Error,South,Office Supplies,2016-06
71,1,0.2,1.731,4.616,5.439099999999991,0.8230999999999913,Normal Error,East,Office Supplies,2016-09
72,3,0.0,8.763,19.05,19.821899999999985,0.7718999999999845,Normal Error,Central,Office Supplies,2017-09
73,8,0.2,-114.3912,831.936,766.2605300000006,65.67546999999945,Normal Error,South,Furniture,2015-04
74,2,0.2,1.213,97.04,68.0872,28.95280000000001,Normal Error,South,Furniture,2015-04
75,1,0.2,-18.196,72.784,77.99335999999995,5.209359999999947,Normal Error,South,Office Supplies,2015-04
76,3,0.8,-1.9344,1.248,1.2437600000000015,0.004239999999998467,Normal Error,Central,Office Supplies,2017-12
77,3,0.6,-5.8248,9.708,9.495089999999998,0.2129100000000026,Normal Error,Central,Furniture,2017-12
78,3,0.2,2.724,27.24,20.540399999999995,6.699600000000004,Normal Error,Central,Office Supplies,2017-12
79,5,0.6,-14.475,19.3,20.516119999999983,1.2161199999999823,Normal Error,Central,Furniture,2014-11
80,1,0.0,56.2032,208.16,211.96049999999988,3.800499999999886,Normal Error,South,Office Supplies,2016-06
81,3,0.0,8.0352,16.74,28.42139999999998,11.681399999999982,Normal Error,South,Office Supplies,2016-06
82,5,0.0,4.172,14.9,14.114800000000008,0.7851999999999926,Normal Error,West,Office Supplies,2014-10
83,1,0.0,6.2031,21.39,21.256100000000014,0.13389999999998636,Normal Error,West,Office Supplies,2014-10
84,7,0.2,62.8075,200.984,291.9672900000003,90.98329000000027,Normal Error,South,Office Supplies,2015-09
85,3,0.2,-48.9549,230.376,233.7235500000001,3.3475500000000977,Normal Error,Central,Office Supplies,2017-11
86,2,0.0,33.2156,301.96,283.9602999999995,17.999700000000473,Normal Error,South,Furniture,2017-05
87,1,0.0,6.7966,19.99,27.632,7.642000000000003,Normal Error,Central,Technology,2017-10
88,2,0.0,2.9568,6.16,6.160000000000005,4.440892098500626e-15,Normal Error,Central,Office Supplies,2017-10
89,7,0.2,13.8572,158.368,97.13692000000005,61.23107999999995,Normal Error,Central,Office Supplies,2016-04
90,3,0.0,6.633,20.1,33.121559999999974,13.021559999999972,Normal Error,West,Office Supplies,2016-09
91,2,0.2,8.2782,73.584,73.6542399999999,0.07023999999989883,Normal Error,West,Technology,2016-09
92,1,0.0,3.1104,6.48,6.480000000000009,8.881784197001252e-15,Normal Error,West,Office Supplies,2016-09
93,2,0.0,6.2208,12.96,12.960000000000019,1.7763568394002505e-14,Normal Error,Central,Office Supplies,2015-01
94,3,0.0,16.5354,53.34,65.62429999999996,12.28429999999996,Normal Error,Central,Furniture,2015-01
95,2,0.0,16.1504,32.96,39.9133,6.953299999999999,Normal Error,Central,Office Supplies,2015-01
96,1,0.7,-3.788,5.682,4.700639999999998,0.9813600000000022,Normal Error,West,Office Supplies,2017-11
97,7,0.0,40.5426,96.53,105.35469999999988,8.82469999999988,Normal Error,East,Furniture,2017-11
98,3,0.2,17.9592,51.312,83.05335999999994,31.741359999999943,Normal Error,West,Office Supplies,2017-06
99,6,0.0,22.5852,77.88,83.45280000000007,5.572800000000072,Normal Error,Central,Office Supplies,2016-09
100,7,0.2,22.6184,64.624,79.6655199999999,15.041519999999906,Normal Error,Central,Office Supplies,2016-08
101,3,0.2,-10.7973,95.976,96.40535999999999,0.4293599999999884,Normal Error,Central,Technology,2016-08
102,3,0.8,-3.0396,1.788,1.7935200000000011,0.00552000000000108,Normal Error,Central,Office Supplies,2016-08
103,4,0.0,11.7208,23.92,24.389200000000038,0.46920000000003625,Normal Error,Central,Office Supplies,2016-12
104,6,0.2,-26.8758,238.896,424.72431999999986,185.82831999999988,Normal Error,West,Technology,2015-11
105,3,0.2,-3.8385,102.36,89.27647999999992,13.083520000000078,Normal Error,West,Furniture,2015-11
106,3,0.7,-25.8174,36.882,35.87796000000004,1.0040399999999607,Normal Error,West,Office Supplies,2015-11
107,8,0.2,17.6016,74.112,72.14855999999999,1.9634400000000056,Normal Error,South,Technology,2017-11
108,1,0.2,2.0994,27.992,7.363999999999999,20.628,Normal Error,South,Technology,2017-11
109,1,0.2,1.0738,3.304,4.245119999999994,0.941119999999994,Normal Error,South,Office Supplies,2017-11
110,5,0.2,67.992,339.96,422.5001599999996,82.54015999999962,Normal Error,Central,Technology,2015-10
111,2,0.0,10.9096,41.96,41.55840000000003,0.40159999999997353,Normal Error,East,Furniture,2017-12
112,2,0.0,22.788,75.96,88.15089999999995,12.190899999999957,Normal Error,Central,Office Supplies,2016-11
113,6,0.0,13.3476,27.24,161.68199999999976,134.44199999999975,Normal Error,Central,Office Supplies,2016-11
114,14,0.2,14.5348,40.096,40.953520000000026,0.8575200000000294,Normal Error,East,Office Supplies,2014-08
115,2,0.2,1.652,4.72,4.843880000000008,0.12388000000000865,Normal Error,East,Office Supplies,2014-08
116,3,0.2,7.4925,23.976,75.47359999999989,51.49759999999989,Normal Error,East,Office Supplies,2014-08
117,6,0.2,44.0316,130.464,187.16391999999993,56.699919999999935,Normal Error,East,Office Supplies,2014-08
118,3,0.0,165.3813,787.53,701.4492999999997,86.08070000000032,Normal Error,West,Furniture,2015-03
119,1,0.7,-115.7156,157.794,134.1047399999999,23.689260000000104,Normal Error,South,Office Supplies,2015-04
120,3,0.0,18.3456,47.04,56.66209999999999,9.622099999999989,Normal Error,East,Furniture,2016-06
121,4,0.0,13.878,30.84,74.69980000000007,43.859800000000064,Normal Error,East,Office Supplies,2016-06
122,6,0.0,63.4368,226.56,197.47910000000007,29.08089999999993,Normal Error,East,Office Supplies,2016-06
123,9,0.0,51.759,115.02,137.57800000000023,22.558000000000234,Normal Error,East,Office Supplies,2016-06
124,7,0.0,19.7316,68.04,65.83459999999997,2.20540000000004,Normal Error,East,Technology,2016-06
125,3,0.3,-8.5794,600.558,595.9568999999991,4.6011000000008835,Normal Error,Central,Furniture,2014-12
126,6,0.5,-407.682,617.7,606.7008699999992,10.999130000000832,Normal Error,Central,Furniture,2014-09
127,2,0.7,-1.8308,2.388,2.440920000000003,0.052920000000002965,Normal Error,West,Office Supplies,2017-11
128,7,0.2,30.499,243.992,230.36295999999976,13.62904000000023,Normal Error,West,Office Supplies,2017-11
129,2,0.2,-9.1602,81.424,80.48101999999999,0.9429800000000199,Normal Error,West,Furniture,2016-11
130,3,0.0,26.2416,238.56,182.44619999999992,56.11380000000008,Normal Error,West,Furniture,2016-11
131,5,0.4,-11.994,59.97,72.04366,12.073660000000004,Normal Error,East,Technology,2017-02
132,2,0.2,29.364,78.304,88.90936000000006,10.605360000000061,Normal Error,East,Office Supplies,2017-02
133,9,0.2,6.9732,21.456,98.87887999999997,77.42287999999996,Normal Error,East,Office Supplies,2017-02
134,3,0.0,9.6192,20.04,20.039999999999974,2.4868995751603507e-14,Normal Error,West,Office Supplies,2016-10
135,1,0.0,16.6568,35.44,36.39020000000004,0.950200000000045,Normal Error,West,Office Supplies,2016-10
136,4,0.0,3.456,11.52,10.807020000000005,0.7129799999999946,Normal Error,West,Office Supplies,2016-10
137,2,0.0,1.9698,4.02,4.272599999999996,0.2525999999999966,Normal Error,West,Office Supplies,2016-10
138,3,0.2,26.6616,76.176,79.89768000000012,3.72168000000012,Normal Error,West,Office Supplies,2016-10
139,6,0.0,18.4464,65.88,76.01440000000007,10.13440000000007,Normal Error,West,Office Supplies,2016-10
140,14,0.0,20.6976,43.12,108.9625000000002,65.8425000000002,Normal Error,West,Furniture,2016-10
141,2,0.2,10.35,82.8,83.37936000000005,0.579360000000051,Normal Error,East,Furniture,2016-09
142,3,0.0,2.3814,8.82,8.679600000000017,0.14039999999998365,Normal Error,West,Office Supplies,2017-09
143,3,0.0,5.1042,10.86,12.365699999999995,1.5056999999999956,Normal Error,West,Office Supplies,2017-09
144,3,0.0,68.976,143.7,143.79090000000022,0.09090000000023224,Normal Error,West,Office Supplies,2017-09
145,3,0.0,218.2518,839.43,733.8769000000004,105.55309999999952,Normal Error,Central,Office Supplies,2017-12
146,7,0.0,20.1579,671.93,449.4648,222.46519999999992,Normal Error,West,Office Supplies,2015-09
147,4,0.2,12.9096,93.888,78.38207999999999,15.505920000000017,Normal Error,East,Furniture,2014-10
148,11,0.0,103.8015,384.45,349.7422000000001,34.70779999999991,Normal Error,Central,Technology,2016-12
149,3,0.0,5.9988,149.97,137.7527999999998,12.21720000000019,Normal Error,Central,Technology,2016-12
150,8,0.0,585.552,1951.84,2279.0249199999957,327.1849199999958,Normal Error,Central,Furniture,2016-12
151,5,0.0,80.6285,171.55,258.00667999999985,86.45667999999984,Normal Error,Central,Office Supplies,2016-12
152,5,0.2,17.766,157.92,126.348,31.57199999999999,Normal Error,West,Office Supplies,2016-03
153,2,0.2,15.2388,203.184,174.18383999999986,29.000160000000136,Normal Error,West,Technology,2016-03
154,7,0.0,26.271,58.38,76.561,18.181000000000004,Normal Error,West,Office Supplies,2015-05
155,4,0.0,48.5392,105.52,105.66280000000026,0.14280000000026405,Normal Error,West,Office Supplies,2015-05
156,6,0.0,21.0288,80.88,95.09,14.210000000000008,Normal Error,West,Office Supplies,2015-05
157,3,0.0,1.7901,6.63,6.629999999999996,3.552713678800501e-15,Normal Error,West,Office Supplies,2015-05
158,2,0.2,51.4764,457.568,756.7997600000007,299.2317600000007,Normal Error,West,Furniture,2014-03
159,2,0.0,6.8714,14.62,14.61999999999997,2.842170943040401e-14,Normal Error,Central,Office Supplies,2016-11
160,7,0.0,236.2325,944.93,966.5395999999987,21.60959999999875,Normal Error,Central,Technology,2016-11
161,1,0.0,2.691,5.98,6.898320000000008,0.9183200000000076,Normal Error,West,Office Supplies,2016-05
162,2,0.2,1.3596,54.384,39.54695999999999,14.837040000000009,Normal Error,East,Technology,2015-12
163,5,0.0,13.348,28.4,34.80690000000005,6.40690000000005,Normal Error,West,Office Supplies,2016-11
164,2,0.2,9.688,27.68,37.56311999999997,9.88311999999997,Normal Error,West,Office Supplies,2016-11
165,3,0.2,2.7324,9.936,12.308539999999999,2.372539999999999,Normal Error,Central,Office Supplies,2014-09
166,8,0.4,-1359.992,8159.952,6487.371060000002,1672.580939999998,High Error,Central,Technology,2014-09
167,3,0.2,-58.6347,275.928,273.76751999999993,2.1604800000000637,Normal Error,Central,Office Supplies,2014-09
168,9,0.3,-24.858,1740.06,1272.455759999999,467.604240000001,Normal Error,Central,Furniture,2014-09
169,6,0.2,6.8136,32.064,37.77935999999996,5.715359999999961,Normal Error,Central,Office Supplies,2014-09
170,5,0.8,-453.849,177.98,229.8459499999998,51.8659499999998,Normal Error,Central,Office Supplies,2014-09
171,3,0.2,8.9985,143.976,141.73724000000016,2.238759999999843,Normal Error,Central,Technology,2014-09
172,3,0.0,9.8418,20.94,24.496900000000036,3.5569000000000344,Normal Error,West,Office Supplies,2014-08
173,2,0.0,53.2608,110.96,114.78899999999977,3.8289999999997804,Normal Error,West,Office Supplies,2014-08
174,7,0.2,21.259,340.144,280.74464000000006,59.399359999999945,Normal Error,West,Furniture,2014-08
175,2,0.8,-131.12,52.448,50.99040000000001,1.4575999999999922,Normal Error,Central,Office Supplies,2014-09
176,4,0.2,6.552,20.16,21.46144000000002,1.3014400000000208,Normal Error,Central,Office Supplies,2014-09
177,4,0.8,-243.16,97.264,100.41565999999995,3.15165999999995,Normal Error,Central,Office Supplies,2017-04
178,7,0.3,-11.3372,396.802,425.1153900000004,28.313390000000368,Normal Error,East,Furniture,2015-11
179,5,0.2,-3.7715,15.88,36.336720000000064,20.45672000000006,Normal Error,East,Office Supplies,2015-11
180,1,0.0,1.4104,3.28,3.136599999999996,0.14340000000000375,Normal Error,East,Office Supplies,2015-12
181,2,0.2,1.8612,24.816,25.31922,0.5032200000000024,Normal Error,Central,Office Supplies,2014-12
182,7,0.2,76.6395,408.744,419.1776799999994,10.433679999999356,Normal Error,Central,Technology,2014-12
183,4,0.0,131.0296,503.96,475.04009999999937,28.91990000000061,Normal Error,South,Technology,2014-11
184,5,0.0,41.986,149.95,146.0852000000002,3.864799999999775,Normal Error,South,Technology,2014-11
185,2,0.0,7.25,29.0,31.01052,2.0105199999999996,Normal Error,South,Technology,2014-11
186,2,0.0,3.4368,7.16,7.237699999999998,0.07769999999999744,Normal Error,East,Office Supplies,2016-11
187,8,0.0,22.984,176.8,153.00979999999973,23.790200000000283,Normal Error,West,Technology,2014-08
188,3,0.2,3.7224,37.224,55.13080000000005,17.906800000000054,Normal Error,Central,Office Supplies,2016-07
189,3,0.2,6.255,20.016,20.49992000000001,0.4839200000000119,Normal Error,Central,Office Supplies,2016-07
190,4,0.2,112.392,899.136,836.2450399999993,62.89096000000063,Normal Error,East,Furniture,2015-10
191,6,0.0,20.0928,71.76,111.7233000000001,39.96330000000009,Normal Error,East,Technology,2015-10
192,8,0.0,24.8832,51.84,51.840000000000074,7.105427357601002e-14,Normal Error,East,Office Supplies,2015-10
193,3,0.2,46.9764,626.352,533.5672399999994,92.78476000000057,Normal Error,East,Furniture,2015-10
194,5,0.0,6.567,19.9,19.682500000000033,0.2174999999999656,Normal Error,East,Office Supplies,2015-10
195,7,0.0,6.7116,14.28,29.26924000000001,14.989240000000011,Normal Error,West,Office Supplies,2015-10
196,2,0.2,1.2038,7.408,11.351680000000004,3.943680000000003,Normal Error,East,Office Supplies,2014-03
197,3,0.2,1.5876,6.048,9.9048,3.8568,Normal Error,East,Office Supplies,2014-03
198,3,0.0,12.0276,46.26,43.63280000000008,2.6271999999999167,Normal Error,East,Office Supplies,2017-11
199,2,0.7,-2.2586,2.946,2.9119200000000007,0.034079999999999444,Normal Error,East,Office Supplies,2017-07
200,3,0.2,5.8203,16.056,17.076540000000023,1.0205400000000218,Normal Error,East,Office Supplies,2017-07
201,3,0.2,6.795,21.744,40.69912000000003,18.95512000000003,Normal Error,East,Office Supplies,2017-06
202,2,0.5,-161.875,218.75,246.55969000000002,27.809690000000018,Normal Error,West,Furniture,2014-08
203,1,0.2,0.2925,2.6,2.857579999999999,0.25757999999999903,Normal Error,West,Office Supplies,2014-08
204,2,0.8,-178.9668,66.284,70.39310999999995,4.109109999999944,Normal Error,Central,Office Supplies,2017-12
205,7,0.2,9.6712,35.168,34.77126000000001,0.396739999999987,Normal Error,South,Furniture,2017-06
206,4,0.2,44.4768,444.768,473.27335999999923,28.505359999999257,Normal Error,West,Technology,2017-12
207,4,0.0,5.8744,83.92,77.18210000000005,6.737899999999954,Normal Error,Central,Office Supplies,2017-12
208,2,0.0,35.6346,131.98,126.3699999999997,5.610000000000284,Normal Error,Central,Technology,2017-12
209,4,0.0,7.4824,15.92,16.028000000000016,0.10800000000001653,Normal Error,Central,Office Supplies,2017-12
210,9,0.0,16.2099,52.29,59.44793999999999,7.157939999999989,Normal Error,Central,Office Supplies,2017-12
211,1,0.0,3.6796,91.99,70.70747999999986,21.282520000000133,Normal Error,Central,Office Supplies,2017-12
212,2,0.2,6.5,20.8,40.73311999999995,19.93311999999995,Normal Error,Central,Technology,2015-02
213,2,0.2,8.88,23.68,39.152959999999965,15.472959999999965,Normal Error,East,Office Supplies,2015-01
214,5,0.5,-244.323,452.45,427.15849499999973,25.291505000000257,Normal Error,East,Furniture,2015-01
215,3,0.4,-14.6958,62.982,71.9013,8.919300000000007,Normal Error,East,Technology,2015-01
216,9,0.7,-950.4,1188.0,1066.9958100000001,121.00418999999988,Normal Error,East,Technology,2015-01
217,2,0.2,4.4792,89.584,82.4863999999999,7.097600000000099,Normal Error,East,Technology,2015-01
218,6,0.0,26.0568,93.06,170.84520000000003,77.78520000000003,Normal Error,West,Office Supplies,2016-10
219,3,0.2,22.6782,302.376,302.37600000000015,1.7053025658242404e-13,Normal Error,West,Technology,2016-10
220,2,0.2,1.8148,5.584,8.206239999999987,2.6222399999999872,Normal Error,East,Office Supplies,2015-12
221,6,0.2,8.2302,22.704,31.56048000000005,8.856480000000051,Normal Error,East,Office Supplies,2015-12
222,4,0.7,-13.8432,19.776,18.729090000000006,1.0469099999999933,Normal Error,East,Office Supplies,2015-12
223,4,0.2,19.0848,72.704,80.12255999999996,7.418559999999971,Normal Error,East,Furniture,2015-12
224,4,0.7,-383.9904,479.988,409.2921300000001,70.6958699999999,Normal Error,East,Technology,2015-12
225,2,0.2,2.7168,27.168,24.193799999999978,2.974200000000021,Normal Error,East,Office Supplies,2015-12
226,1,0.0,0.968,2.2,2.4054399999999956,0.2054399999999954,Normal Error,Central,Office Supplies,2015-08
227,5,0.0,136.939,622.45,466.60540000000015,155.8445999999999,Normal Error,Central,Furniture,2015-08
228,1,0.0,0.2198,21.98,18.985420000000005,2.9945799999999956,Normal Error,Central,Office Supplies,2015-08
229,2,0.2,-28.2744,161.568,166.76835999999975,5.200359999999733,Normal Error,South,Furniture,2015-02
230,8,0.2,43.8408,389.696,340.99295999999987,48.70304000000016,Normal Error,South,Furniture,2015-02
231,7,0.7,-12.432,18.648,18.263639999999985,0.38436000000001513,Normal Error,South,Office Supplies,2014-09
232,2,0.45,-102.048,233.86,220.06015500000015,13.799844999999863,Normal Error,South,Furniture,2017-04
233,3,0.45,-248.2458,620.6145,572.9097750000009,47.704724999999144,Normal Error,South,Furniture,2017-04
234,2,0.7,-3.552,5.328,4.847579999999997,0.4804200000000032,Normal Error,South,Office Supplies,2017-04
235,3,0.2,0.0,258.072,281.43272861471854,23.36072861471854,Normal Error,South,Furniture,2017-04
236,3,0.2,-7.7247,617.976,558.9045000000006,59.071499999999446,Normal Error,South,Technology,2017-04
237,2,0.0,4.752,10.56,15.121199999999957,4.561199999999957,Normal Error,West,Office Supplies,2017-11
238,5,0.2,9.396,25.92,25.998080000000027,0.0780800000000248,Normal Error,Central,Office Supplies,2016-06
239,5,0.6,-356.728,419.68,387.67719000000017,32.00280999999984,Normal Error,Central,Furniture,2016-06
240,3,0.6,-4.6752,11.688,7.930539999999999,3.757460000000002,Normal Error,Central,Furniture,2016-06
241,2,0.2,11.1944,31.984,88.28728000000018,56.30328000000018,Normal Error,Central,Technology,2016-06
242,5,0.5,-120.513,177.225,188.03414800000002,10.809148000000022,Normal Error,Central,Furniture,2016-06
243,3,0.6,-2.8308,4.044,5.425599999999995,1.3815999999999953,Normal Error,Central,Furniture,2016-06
244,2,0.2,1.2038,7.408,11.351680000000004,3.943680000000003,Normal Error,Central,Office Supplies,2016-06
245,7,0.0,580.5394,2001.86,1893.3484999999957,108.51150000000416,Normal Error,Central,Furniture,2014-06
246,2,0.0,41.68,166.72,120.84719999999994,45.872800000000055,Normal Error,Central,Office Supplies,2014-06
247,6,0.0,23.94,47.88,56.31770000000009,8.437700000000085,Normal Error,Central,Office Supplies,2014-06
248,5,0.0,496.0725,1503.25,1587.6462999999994,84.39629999999943,Normal Error,Central,Office Supplies,2014-06
249,4,0.0,12.4416,25.92,25.920000000000037,3.552713678800501e-14,Normal Error,Central,Office Supplies,2014-06
250,2,0.2,28.1372,321.568,348.1595199999996,26.591519999999605,Normal Error,West,Furniture,2016-12
251,1,0.0,3.5767,7.61,12.329079999999994,4.719079999999994,Normal Error,West,Office Supplies,2016-09
252,13,0.0,636.0003,3347.37,2252.8092100000013,1094.5607899999986,High Error,West,Technology,2016-09
253,6,0.0,22.5624,80.58,76.25700000000008,4.322999999999922,Normal Error,East,Office Supplies,2016-12
254,4,0.0,162.864,361.92,441.56899999999933,79.64899999999932,Normal Error,East,Office Supplies,2016-12
255,9,0.6,-8.4924,12.132,14.905840000000005,2.773840000000005,Normal Error,Central,Furniture,2015-11
256,2,0.2,-19.5624,82.368,82.24220000000015,0.12579999999984182,Normal Error,Central,Office Supplies,2015-11
257,5,0.2,4.044,53.92,44.13880000000004,9.781199999999963,Normal Error,Central,Office Supplies,2015-11
258,6,0.2,56.6916,647.904,516.2749600000004,131.62903999999958,Normal Error,Central,Technology,2015-11
259,3,0.0,6.9258,20.37,19.095999999999975,1.2740000000000258,Normal Error,East,Technology,2017-12
260,3,0.0,6.6465,221.55,161.3751200000001,60.174879999999916,Normal Error,East,Office Supplies,2017-12
261,5,0.2,6.132,17.52,29.600919999999977,12.080919999999978,Normal Error,East,Office Supplies,2017-12
262,2,0.8,-4.466,1.624,2.1219399999999977,0.4979399999999976,Normal Error,Central,Office Supplies,2017-06
263,3,0.4,-509.997,3059.982,2430.007655999997,629.9743440000029,High Error,Central,Technology,2014-09
264,7,0.4,-251.9958,2519.958,1045.9598080000005,1473.9981919999996,High Error,Central,Technology,2014-09
