Sales,Quantity,Discount,Profit,Region,Category,Year,Month,YearMonth,Anomaly,AlertLevel
371.168,4,0.2,41.7564,Central,Technology,2015,12,2015-12,Normal,Normal
147.168,4,0.2,16.5564,Central,Technology,2017,9,2017-09,Normal,Normal
77.88,2,0.0,3.894,West,Office Supplies,2016,7,2016-07,Normal,Normal
95.616,2,0.2,9.5616,South,Office Supplies,2017,9,2017-09,Normal,Normal
45.98,2,0.0,19.7714,Central,Technology,2016,3,2016-03,Normal,Normal
17.46,2,0.0,8.2062,Central,Office Supplies,2016,3,2016-03,Normal,Normal
211.96,4,0.0,8.4784,Central,Office Supplies,2014,10,2014-10,Normal,Normal
45.0,3,0.0,4.95,East,Technology,2016,6,2016-06,Normal,Normal
21.8,2,0.0,6.104,East,Technology,2016,6,2016-06,Normal,Normal
38.22,6,0.0,17.9634,Central,Office Supplies,2015,4,2015-04,Normal,Normal
75.18,6,0.0,35.3346,Central,Office Supplies,2015,4,2015-04,Normal,Normal
6.16,2,0.0,2.9568,Central,Furniture,2015,4,2015-04,Normal,Normal
89.99,1,0.0,17.0981,Central,Furniture,2015,4,2015-04,Normal,Normal
15.26,7,0.0,6.2566,East,Office Supplies,2016,12,2016-12,Normal,Normal
1029.95,5,0.0,298.6855,East,Technology,2016,12,2016-12,Normal,Normal
208.56,6,0.0,52.14,East,Office Supplies,2016,6,2016-06,Normal,Normal
32.4,5,0.0,15.552,East,Office Supplies,2016,6,2016-06,Normal,Normal
319.41,5,0.1,7.098,East,Furniture,2016,6,2016-06,Normal,Normal
14.56,2,0.0,6.9888,East,Office Supplies,2016,6,2016-06,Normal,Normal
30.0,2,0.0,3.3,East,Technology,2016,6,2016-06,Normal,Normal
48.48,4,0.2,16.362,East,Office Supplies,2016,6,2016-06,Normal,Normal
1.68,1,0.0,0.84,East,Office Supplies,2016,6,2016-06,Normal,Normal
13.98,2,0.0,6.1512,West,Technology,2015,11,2015-11,Normal,Normal
25.824,6,0.2,9.3612,West,Office Supplies,2015,11,2015-11,Normal,Normal
146.73,3,0.0,68.9631,West,Office Supplies,2015,11,2015-11,Normal,Normal
79.76,4,0.0,22.3328,West,Furniture,2015,11,2015-11,Normal,Normal
213.115,5,0.3,-15.2225,Central,Furniture,2015,4,2015-04,Normal,Normal
1113.024,8,0.2,111.3024,West,Office Supplies,2014,12,2014-12,Normal,Normal
167.968,4,0.2,62.988,West,Technology,2014,12,2014-12,Normal,Normal
75.88,2,0.0,35.6636,South,Office Supplies,2016,6,2016-06,Normal,Normal
4.616,1,0.2,1.731,East,Office Supplies,2016,9,2016-09,Normal,Normal
19.05,3,0.0,8.763,Central,Office Supplies,2017,9,2017-09,Normal,Normal
831.936,8,0.2,-114.3912,South,Furniture,2015,4,2015-04,Normal,Normal
97.04,2,0.2,1.213,South,Furniture,2015,4,2015-04,Normal,Normal
72.784,1,0.2,-18.196,South,Office Supplies,2015,4,2015-04,Normal,Normal
1.248,3,0.8,-1.9344,Central,Office Supplies,2017,12,2017-12,Normal,Normal
9.708,3,0.6,-5.8248,Central,Furniture,2017,12,2017-12,Normal,Normal
27.24,3,0.2,2.724,Central,Office Supplies,2017,12,2017-12,Normal,Normal
19.3,5,0.6,-14.475,Central,Furniture,2014,11,2014-11,Normal,Normal
208.16,1,0.0,56.2032,South,Office Supplies,2016,6,2016-06,Normal,Normal
16.74,3,0.0,8.0352,South,Office Supplies,2016,6,2016-06,Normal,Normal
14.9,5,0.0,4.172,West,Office Supplies,2014,10,2014-10,Normal,Normal
21.39,1,0.0,6.2031,West,Office Supplies,2014,10,2014-10,Normal,Normal
200.984,7,0.2,62.8075,South,Office Supplies,2015,9,2015-09,Normal,Normal
230.376,3,0.2,-48.9549,Central,Office Supplies,2017,11,2017-11,Normal,Normal
301.96,2,0.0,33.2156,South,Furniture,2017,5,2017-05,Normal,Normal
19.99,1,0.0,6.7966,Central,Technology,2017,10,2017-10,Normal,Normal
6.16,2,0.0,2.9568,Central,Office Supplies,2017,10,2017-10,Normal,Normal
158.368,7,0.2,13.8572,Central,Office Supplies,2016,4,2016-04,Normal,Normal
20.1,3,0.0,6.633,West,Office Supplies,2016,9,2016-09,Normal,Normal
73.584,2,0.2,8.2782,West,Technology,2016,9,2016-09,Normal,Normal
6.48,1,0.0,3.1104,West,Office Supplies,2016,9,2016-09,Normal,Normal
12.96,2,0.0,6.2208,Central,Office Supplies,2015,1,2015-01,Normal,Normal
53.34,3,0.0,16.5354,Central,Furniture,2015,1,2015-01,Normal,Normal
32.96,2,0.0,16.1504,Central,Office Supplies,2015,1,2015-01,Normal,Normal
5.682,1,0.7,-3.788,West,Office Supplies,2017,11,2017-11,Normal,Normal
96.53,7,0.0,40.5426,East,Furniture,2017,11,2017-11,Normal,Normal
51.312,3,0.2,17.9592,West,Office Supplies,2017,6,2017-06,Normal,Normal
77.88,6,0.0,22.5852,Central,Office Supplies,2016,9,2016-09,Normal,Normal
64.624,7,0.2,22.6184,Central,Office Supplies,2016,8,2016-08,Normal,Normal
95.976,3,0.2,-10.7973,Central,Technology,2016,8,2016-08,Normal,Normal
1.788,3,0.8,-3.0396,Central,Office Supplies,2016,8,2016-08,Normal,Normal
23.92,4,0.0,11.7208,Central,Office Supplies,2016,12,2016-12,Normal,Normal
238.896,6,0.2,-26.8758,West,Technology,2015,11,2015-11,Normal,Normal
102.36,3,0.2,-3.8385,West,Furniture,2015,11,2015-11,Normal,Normal
36.882,3,0.7,-25.8174,West,Office Supplies,2015,11,2015-11,Normal,Normal
74.112,8,0.2,17.6016,South,Technology,2017,11,2017-11,Normal,Normal
27.992,1,0.2,2.0994,South,Technology,2017,11,2017-11,Normal,Normal
3.304,1,0.2,1.0738,South,Office Supplies,2017,11,2017-11,Normal,Normal
339.96,5,0.2,67.992,Central,Technology,2015,10,2015-10,Normal,Normal
41.96,2,0.0,10.9096,East,Furniture,2017,12,2017-12,Normal,Normal
75.96,2,0.0,22.788,Central,Office Supplies,2016,11,2016-11,Normal,Normal
27.24,6,0.0,13.3476,Central,Office Supplies,2016,11,2016-11,Normal,Normal
40.096,14,0.2,14.5348,East,Office Supplies,2014,8,2014-08,Normal,Normal
4.72,2,0.2,1.652,East,Office Supplies,2014,8,2014-08,Normal,Normal
23.976,3,0.2,7.4925,East,Office Supplies,2014,8,2014-08,Normal,Normal
130.464,6,0.2,44.0316,East,Office Supplies,2014,8,2014-08,Normal,Normal
787.53,3,0.0,165.3813,West,Furniture,2015,3,2015-03,Normal,Normal
157.794,1,0.7,-115.7156,South,Office Supplies,2015,4,2015-04,Anomaly,High Alert
47.04,3,0.0,18.3456,East,Furniture,2016,6,2016-06,Normal,Normal
30.84,4,0.0,13.878,East,Office Supplies,2016,6,2016-06,Normal,Normal
226.56,6,0.0,63.4368,East,Office Supplies,2016,6,2016-06,Normal,Normal
115.02,9,0.0,51.759,East,Office Supplies,2016,6,2016-06,Normal,Normal
68.04,7,0.0,19.7316,East,Technology,2016,6,2016-06,Normal,Normal
600.558,3,0.3,-8.5794,Central,Furniture,2014,12,2014-12,Normal,Normal
617.7,6,0.5,-407.682,Central,Furniture,2014,9,2014-09,Anomaly,High Alert
2.388,2,0.7,-1.8308,West,Office Supplies,2017,11,2017-11,Normal,Normal
243.992,7,0.2,30.499,West,Office Supplies,2017,11,2017-11,Normal,Normal
81.424,2,0.2,-9.1602,West,Furniture,2016,11,2016-11,Normal,Normal
238.56,3,0.0,26.2416,West,Furniture,2016,11,2016-11,Normal,Normal
59.97,5,0.4,-11.994,East,Technology,2017,2,2017-02,Normal,Normal
78.304,2,0.2,29.364,East,Office Supplies,2017,2,2017-02,Normal,Normal
21.456,9,0.2,6.9732,East,Office Supplies,2017,2,2017-02,Normal,Normal
20.04,3,0.0,9.6192,West,Office Supplies,2016,10,2016-10,Normal,Normal
35.44,1,0.0,16.6568,West,Office Supplies,2016,10,2016-10,Normal,Normal
11.52,4,0.0,3.456,West,Office Supplies,2016,10,2016-10,Normal,Normal
4.02,2,0.0,1.9698,West,Office Supplies,2016,10,2016-10,Normal,Normal
76.176,3,0.2,26.6616,West,Office Supplies,2016,10,2016-10,Normal,Normal
65.88,6,0.0,18.4464,West,Office Supplies,2016,10,2016-10,Normal,Normal
43.12,14,0.0,20.6976,West,Furniture,2016,10,2016-10,Normal,Normal
82.8,2,0.2,10.35,East,Furniture,2016,9,2016-09,Normal,Normal
8.82,3,0.0,2.3814,West,Office Supplies,2017,9,2017-09,Normal,Normal
10.86,3,0.0,5.1042,West,Office Supplies,2017,9,2017-09,Normal,Normal
143.7,3,0.0,68.976,West,Office Supplies,2017,9,2017-09,Normal,Normal
839.43,3,0.0,218.2518,Central,Office Supplies,2017,12,2017-12,Normal,Normal
671.93,7,0.0,20.1579,West,Office Supplies,2015,9,2015-09,Normal,Normal
93.888,4,0.2,12.9096,East,Furniture,2014,10,2014-10,Normal,Normal
384.45,11,0.0,103.8015,Central,Technology,2016,12,2016-12,Normal,Normal
149.97,3,0.0,5.9988,Central,Technology,2016,12,2016-12,Normal,Normal
1951.84,8,0.0,585.552,Central,Furniture,2016,12,2016-12,Anomaly,High Alert
171.55,5,0.0,80.6285,Central,Office Supplies,2016,12,2016-12,Normal,Normal
157.92,5,0.2,17.766,West,Office Supplies,2016,3,2016-03,Normal,Normal
203.184,2,0.2,15.2388,West,Technology,2016,3,2016-03,Normal,Normal
58.38,7,0.0,26.271,West,Office Supplies,2015,5,2015-05,Normal,Normal
105.52,4,0.0,48.5392,West,Office Supplies,2015,5,2015-05,Normal,Normal
80.88,6,0.0,21.0288,West,Office Supplies,2015,5,2015-05,Normal,Normal
6.63,3,0.0,1.7901,West,Office Supplies,2015,5,2015-05,Normal,Normal
457.568,2,0.2,51.4764,West,Furniture,2014,3,2014-03,Normal,Normal
14.62,2,0.0,6.8714,Central,Office Supplies,2016,11,2016-11,Normal,Normal
944.93,7,0.0,236.2325,Central,Technology,2016,11,2016-11,Normal,Normal
5.98,1,0.0,2.691,West,Office Supplies,2016,5,2016-05,Normal,Normal
54.384,2,0.2,1.3596,East,Technology,2015,12,2015-12,Normal,Normal
28.4,5,0.0,13.348,West,Office Supplies,2016,11,2016-11,Normal,Normal
27.68,2,0.2,9.688,West,Office Supplies,2016,11,2016-11,Normal,Normal
9.936,3,0.2,2.7324,Central,Office Supplies,2014,9,2014-09,Normal,Normal
8159.952,8,0.4,-1359.992,Central,Technology,2014,9,2014-09,Anomaly,High Alert
275.928,3,0.2,-58.6347,Central,Office Supplies,2014,9,2014-09,Normal,Normal
1740.06,9,0.3,-24.858,Central,Furniture,2014,9,2014-09,Anomaly,High Alert
32.064,6,0.2,6.8136,Central,Office Supplies,2014,9,2014-09,Normal,Normal
177.98,5,0.8,-453.849,Central,Office Supplies,2014,9,2014-09,Anomaly,High Alert
143.976,3,0.2,8.9985,Central,Technology,2014,9,2014-09,Normal,Normal
20.94,3,0.0,9.8418,West,Office Supplies,2014,8,2014-08,Normal,Normal
110.96,2,0.0,53.2608,West,Office Supplies,2014,8,2014-08,Normal,Normal
340.144,7,0.2,21.259,West,Furniture,2014,8,2014-08,Normal,Normal
52.448,2,0.8,-131.12,Central,Office Supplies,2014,9,2014-09,Anomaly,High Alert
20.16,4,0.2,6.552,Central,Office Supplies,2014,9,2014-09,Normal,Normal
97.264,4,0.8,-243.16,Central,Office Supplies,2017,4,2017-04,Anomaly,High Alert
396.802,7,0.3,-11.3372,East,Furniture,2015,11,2015-11,Normal,Normal
15.88,5,0.2,-3.7715,East,Office Supplies,2015,11,2015-11,Normal,Normal
3.28,1,0.0,1.4104,East,Office Supplies,2015,12,2015-12,Normal,Normal
24.816,2,0.2,1.8612,Central,Office Supplies,2014,12,2014-12,Normal,Normal
408.744,7,0.2,76.6395,Central,Technology,2014,12,2014-12,Normal,Normal
503.96,4,0.0,131.0296,South,Technology,2014,11,2014-11,Normal,Normal
149.95,5,0.0,41.986,South,Technology,2014,11,2014-11,Normal,Normal
29.0,2,0.0,7.25,South,Technology,2014,11,2014-11,Normal,Normal
7.16,2,0.0,3.4368,East,Office Supplies,2016,11,2016-11,Normal,Normal
176.8,8,0.0,22.984,West,Technology,2014,8,2014-08,Normal,Normal
37.224,3,0.2,3.7224,Central,Office Supplies,2016,7,2016-07,Normal,Normal
20.016,3,0.2,6.255,Central,Office Supplies,2016,7,2016-07,Normal,Normal
899.136,4,0.2,112.392,East,Furniture,2015,10,2015-10,Normal,Normal
71.76,6,0.0,20.0928,East,Technology,2015,10,2015-10,Normal,Normal
51.84,8,0.0,24.8832,East,Office Supplies,2015,10,2015-10,Normal,Normal
626.352,3,0.2,46.9764,East,Furniture,2015,10,2015-10,Normal,Normal
19.9,5,0.0,6.567,East,Office Supplies,2015,10,2015-10,Normal,Normal
14.28,7,0.0,6.7116,West,Office Supplies,2015,10,2015-10,Normal,Normal
7.408,2,0.2,1.2038,East,Office Supplies,2014,3,2014-03,Normal,Normal
6.048,3,0.2,1.5876,East,Office Supplies,2014,3,2014-03,Normal,Normal
46.26,3,0.0,12.0276,East,Office Supplies,2017,11,2017-11,Normal,Normal
2.946,2,0.7,-2.2586,East,Office Supplies,2017,7,2017-07,Normal,Normal
16.056,3,0.2,5.8203,East,Office Supplies,2017,7,2017-07,Normal,Normal
21.744,3,0.2,6.795,East,Office Supplies,2017,6,2017-06,Normal,Normal
218.75,2,0.5,-161.875,West,Furniture,2014,8,2014-08,Normal,Normal
2.6,1,0.2,0.2925,West,Office Supplies,2014,8,2014-08,Normal,Normal
66.284,2,0.8,-178.9668,Central,Office Supplies,2017,12,2017-12,Anomaly,High Alert
35.168,7,0.2,9.6712,South,Furniture,2017,6,2017-06,Normal,Normal
444.768,4,0.2,44.4768,West,Technology,2017,12,2017-12,Normal,Normal
83.92,4,0.0,5.8744,Central,Office Supplies,2017,12,2017-12,Normal,Normal
131.98,2,0.0,35.6346,Central,Technology,2017,12,2017-12,Normal,Normal
15.92,4,0.0,7.4824,Central,Office Supplies,2017,12,2017-12,Normal,Normal
52.29,9,0.0,16.2099,Central,Office Supplies,2017,12,2017-12,Normal,Normal
91.99,1,0.0,3.6796,Central,Office Supplies,2017,12,2017-12,Normal,Normal
20.8,2,0.2,6.5,Central,Technology,2015,2,2015-02,Normal,Normal
23.68,2,0.2,8.88,East,Office Supplies,2015,1,2015-01,Normal,Normal
452.45,5,0.5,-244.323,East,Furniture,2015,1,2015-01,Anomaly,High Alert
62.982,3,0.4,-14.6958,East,Technology,2015,1,2015-01,Normal,Normal
1188.0,9,0.7,-950.4,East,Technology,2015,1,2015-01,Anomaly,High Alert
89.584,2,0.2,4.4792,East,Technology,2015,1,2015-01,Normal,Normal
93.06,6,0.0,26.0568,West,Office Supplies,2016,10,2016-10,Normal,Normal
302.376,3,0.2,22.6782,West,Technology,2016,10,2016-10,Normal,Normal
5.584,2,0.2,1.8148,East,Office Supplies,2015,12,2015-12,Normal,Normal
22.704,6,0.2,8.2302,East,Office Supplies,2015,12,2015-12,Normal,Normal
19.776,4,0.7,-13.8432,East,Office Supplies,2015,12,2015-12,Normal,Normal
72.704,4,0.2,19.0848,East,Furniture,2015,12,2015-12,Normal,Normal
479.988,4,0.7,-383.9904,East,Technology,2015,12,2015-12,Anomaly,High Alert
27.168,2,0.2,2.7168,East,Office Supplies,2015,12,2015-12,Normal,Normal
2.2,1,0.0,0.968,Central,Office Supplies,2015,8,2015-08,Normal,Normal
622.45,5,0.0,136.939,Central,Furniture,2015,8,2015-08,Normal,Normal
21.98,1,0.0,0.2198,Central,Office Supplies,2015,8,2015-08,Normal,Normal
161.568,2,0.2,-28.2744,South,Furniture,2015,2,2015-02,Normal,Normal
389.696,8,0.2,43.8408,South,Furniture,2015,2,2015-02,Normal,Normal
18.648,7,0.7,-12.432,South,Office Supplies,2014,9,2014-09,Normal,Normal
233.86,2,0.45,-102.048,South,Furniture,2017,4,2017-04,Normal,Normal
620.6145,3,0.45,-248.2458,South,Furniture,2017,4,2017-04,Normal,Normal
5.328,2,0.7,-3.552,South,Office Supplies,2017,4,2017-04,Normal,Normal
258.072,3,0.2,0.0,South,Furniture,2017,4,2017-04,Normal,Normal
617.976,3,0.2,-7.7247,South,Technology,2017,4,2017-04,Normal,Normal
10.56,2,0.0,4.752,West,Office Supplies,2017,11,2017-11,Normal,Normal
25.92,5,0.2,9.396,Central,Office Supplies,2016,6,2016-06,Normal,Normal
419.68,5,0.6,-356.728,Central,Furniture,2016,6,2016-06,Anomaly,High Alert
11.688,3,0.6,-4.6752,Central,Furniture,2016,6,2016-06,Normal,Normal
31.984,2,0.2,11.1944,Central,Technology,2016,6,2016-06,Normal,Normal
177.225,5,0.5,-120.513,Central,Furniture,2016,6,2016-06,Normal,Normal
4.044,3,0.6,-2.8308,Central,Furniture,2016,6,2016-06,Normal,Normal
7.408,2,0.2,1.2038,Central,Office Supplies,2016,6,2016-06,Normal,Normal
2001.86,7,0.0,580.5394,Central,Furniture,2014,6,2014-06,Anomaly,High Alert
166.72,2,0.0,41.68,Central,Office Supplies,2014,6,2014-06,Normal,Normal
47.88,6,0.0,23.94,Central,Office Supplies,2014,6,2014-06,Normal,Normal
1503.25,5,0.0,496.0725,Central,Office Supplies,2014,6,2014-06,Anomaly,High Alert
25.92,4,0.0,12.4416,Central,Office Supplies,2014,6,2014-06,Normal,Normal
321.568,2,0.2,28.1372,West,Furniture,2016,12,2016-12,Normal,Normal
7.61,1,0.0,3.5767,West,Office Supplies,2016,9,2016-09,Normal,Normal
3347.37,13,0.0,636.0003,West,Technology,2016,9,2016-09,Anomaly,High Alert
80.58,6,0.0,22.5624,East,Office Supplies,2016,12,2016-12,Normal,Normal
361.92,4,0.0,162.864,East,Office Supplies,2016,12,2016-12,Normal,Normal
12.132,9,0.6,-8.4924,Central,Furniture,2015,11,2015-11,Normal,Normal
82.368,2,0.2,-19.5624,Central,Office Supplies,2015,11,2015-11,Normal,Normal
53.92,5,0.2,4.044,Central,Office Supplies,2015,11,2015-11,Normal,Normal
647.904,6,0.2,56.6916,Central,Technology,2015,11,2015-11,Normal,Normal
20.37,3,0.0,6.9258,East,Technology,2017,12,2017-12,Normal,Normal
221.55,3,0.0,6.6465,East,Office Supplies,2017,12,2017-12,Normal,Normal
17.52,5,0.2,6.132,East,Office Supplies,2017,12,2017-12,Normal,Normal
1.624,2,0.8,-4.466,Central,Office Supplies,2017,6,2017-06,Normal,Normal
3059.982,3,0.4,-509.997,Central,Technology,2014,9,2014-09,Anomaly,High Alert
2519.958,7,0.4,-251.9958,Central,Technology,2014,9,2014-09,Anomaly,High Alert
328.224,4,0.2,28.7196,Central,Technology,2016,6,2016-06,Normal,Normal
79.9,2,0.0,35.156,West,Technology,2015,11,2015-11,Normal,Normal
14.016,3,0.2,4.7304,South,Office Supplies,2017,6,2017-06,Normal,Normal
7.56,6,0.0,0.3024,East,Office Supplies,2016,1,2016-01,Normal,Normal
37.208,1,0.2,-7.4416,East,Office Supplies,2017,12,2017-12,Normal,Normal
57.576,3,0.2,21.591,East,Office Supplies,2017,12,2017-12,Normal,Normal
725.84,4,0.0,210.4936,West,Office Supplies,2017,12,2017-12,Normal,Normal
209.93,7,0.0,92.3692,West,Technology,2015,7,2015-07,Normal,Normal
5.28,3,0.0,2.3232,West,Furniture,2015,7,2015-07,Normal,Normal
10.92,3,0.2,4.095,West,Office Supplies,2015,7,2015-07,Normal,Normal
8.82,2,0.0,4.0572,West,Office Supplies,2017,9,2017-09,Normal,Normal
5.98,1,0.0,1.5548,West,Office Supplies,2017,9,2017-09,Normal,Normal
11.648,2,0.2,4.0768,East,Office Supplies,2017,10,2017-10,Normal,Normal
18.176,4,0.2,5.9072,East,Office Supplies,2017,10,2017-10,Normal,Normal
59.712,6,0.2,5.9712,East,Office Supplies,2017,10,2017-10,Normal,Normal
24.84,3,0.2,8.694,East,Office Supplies,2017,10,2017-10,Normal,Normal
2.08,5,0.8,-3.432,Central,Office Supplies,2015,9,2015-09,Normal,Normal
1114.4,7,0.2,376.11,Central,Technology,2015,9,2015-09,Normal,Normal
1038.84,5,0.2,51.942,West,Furniture,2015,11,2015-11,Normal,Normal
141.76,5,0.2,47.844,West,Office Supplies,2015,9,2015-09,Normal,Normal
239.8,5,0.2,47.96,West,Technology,2015,9,2015-09,Normal,Normal
31.104,6,0.2,10.8864,West,Office Supplies,2015,9,2015-09,Normal,Normal
254.058,7,0.7,-169.372,South,Office Supplies,2016,12,2016-12,Anomaly,High Alert
194.528,2,0.2,24.316,South,Office Supplies,2016,12,2016-12,Normal,Normal
961.48,5,0.2,-204.3145,South,Office Supplies,2016,12,2016-12,Normal,Normal
19.096,7,0.2,6.6836,East,Office Supplies,2016,11,2016-11,Normal,Normal
18.496,8,0.2,6.2424,East,Office Supplies,2016,11,2016-11,Normal,Normal
255.984,2,0.2,54.3966,East,Technology,2016,11,2016-11,Normal,Normal
86.97,3,0.5,-48.7032,East,Furniture,2016,11,2016-11,Normal,Normal
300.416,8,0.2,78.8592,West,Furniture,2014,12,2014-12,Normal,Normal
230.352,3,0.2,20.1558,West,Furniture,2014,12,2014-12,Normal,Normal
218.352,3,0.2,-24.5646,West,Furniture,2014,12,2014-12,Normal,Normal
78.6,5,0.7,-62.88,West,Office Supplies,2014,12,2014-12,Normal,Normal
27.552,3,0.2,9.2988,West,Office Supplies,2014,12,2014-12,Normal,Normal
32.4,5,0.0,15.552,East,Office Supplies,2016,10,2016-10,Normal,Normal
1082.48,8,0.0,10.8248,East,Office Supplies,2016,10,2016-10,Normal,Normal
56.91,3,0.0,27.3168,East,Office Supplies,2016,10,2016-10,Normal,Normal
77.6,4,0.0,38.024,East,Furniture,2016,10,2016-10,Normal,Normal
14.28,1,0.0,6.5688,East,Office Supplies,2016,10,2016-10,Normal,Normal
219.075,3,0.5,-131.445,Central,Furniture,2017,11,2017-11,Normal,Normal
26.8,2,0.0,12.864,East,Furniture,2015,5,2015-05,Normal,Normal
9.84,3,0.0,2.8536,Central,Office Supplies,2014,12,2014-12,Normal,Normal
45.48,3,0.0,20.9208,East,Office Supplies,2014,6,2014-06,Normal,Normal
289.2,6,0.0,83.868,East,Office Supplies,2014,6,2014-06,Normal,Normal
4.89,1,0.0,2.0049,South,Office Supplies,2017,4,2017-04,Normal,Normal
15.136,4,0.2,3.5948,West,Furniture,2016,9,2016-09,Normal,Normal
466.768,2,0.2,52.5114,West,Furniture,2016,9,2016-09,Normal,Normal
15.232,1,0.2,1.7136,West,Furniture,2016,9,2016-09,Normal,Normal
6.264,3,0.2,2.0358,West,Office Supplies,2016,9,2016-09,Normal,Normal
87.54,3,0.0,37.6422,East,Furniture,2014,9,2014-09,Normal,Normal
178.384,2,0.2,22.298,South,Technology,2014,8,2014-08,Normal,Normal
15.552,3,0.2,5.4432,South,Office Supplies,2014,8,2014-08,Normal,Normal
99.136,4,0.2,8.6744,East,Office Supplies,2014,12,2014-12,Normal,Normal
135.882,1,0.1,24.1568,East,Furniture,2014,11,2014-11,Normal,Normal
3991.98,2,0.0,1995.99,East,Technology,2014,11,2014-11,Anomaly,High Alert
275.94,6,0.0,80.0226,East,Technology,2014,11,2014-11,Normal,Normal
360.0,4,0.0,129.6,East,Technology,2014,11,2014-11,Normal,Normal
43.57,1,0.0,13.071,East,Office Supplies,2014,11,2014-11,Normal,Normal
7.16,2,0.0,3.58,West,Office Supplies,2014,9,2014-09,Normal,Normal
251.52,6,0.2,81.744,West,Office Supplies,2016,4,2016-04,Normal,Normal
99.99,1,0.0,34.9965,West,Technology,2016,4,2016-04,Normal,Normal
15.992,1,0.2,0.9995,South,Furniture,2017,11,2017-11,Normal,Normal
290.898,3,0.4,-67.8762,East,Technology,2016,8,2016-08,Normal,Normal
54.224,2,0.2,3.389,East,Office Supplies,2016,8,2016-08,Normal,Normal
786.744,4,0.3,-258.5016,East,Furniture,2016,8,2016-08,Normal,Normal
100.24,10,0.2,33.831,East,Office Supplies,2016,8,2016-08,Normal,Normal
37.764,6,0.7,-27.6936,East,Office Supplies,2016,8,2016-08,Normal,Normal
82.8,2,0.4,-20.7,East,Technology,2016,4,2016-04,Normal,Normal
20.724,2,0.7,-13.816,East,Office Supplies,2016,4,2016-04,Normal,Normal
4.896,3,0.7,-3.4272,East,Office Supplies,2016,4,2016-04,Normal,Normal
4.752,1,0.2,1.6038,West,Office Supplies,2015,9,2015-09,Normal,Normal
